(0,), 0.6681318681318681
(37, '1', '0'), 0.03571428571428571
(37, '1', '1'), 0.0
(38, '0', '0'), 0.07630522088353414
(38, '0', '1'), 0.029239766081871343
(38, '1', '0'), 0.08
(38, '1', '1'), 0.2
(39, '0', '0'), 0.05555555555555555
(39, '0', '1'), 0.12244897959183673
(39, '1', '0'), 0.23809523809523808
(39, '1', '1'), 0.2857142857142857
(4, '0'), 0.24433249370277077
(4, '1'), 0.29310344827586204
(40, '0', '0'), 0.4233128834355828
(40, '0', '1'), 0.10526315789473684
(40, '1', '0'), 0.14814814814814814
(40, '1', '1'), 0.0
(41, '0', '0'), 0.05970149253731343
(41, '0', '1'), 0.0
(41, '1', '0'), 0.027586206896551724
(41, '1', '1'), 0.14285714285714285
(42, '0', '0'), 0.03937007874015748
(42, '0', '1'), 0.07547169811320754
(42, '1', '0'), 0.17647058823529413
(42, '1', '1'), 0.25
(43, '0', '0'), 0.03282828282828283
(43, '0', '1'), 0.05555555555555555
(43, '1', '0'), 0.2
(43, '1', '1'), 0.6666666666666666
(44, '0', '0'), 0.12631578947368421
(44, '0', '1'), 0.10738255033557047
(44, '1', '0'), 0.08333333333333333
(44, '1', '1'), 0.3333333333333333
(45, '0', '0'), 0.035326086956521736
(45, '0', '1'), 0.0
(45, '1', '0'), 0.07692307692307693
(45, '1', '1'), 0.0
(46, '0', '0'), 0.059895833333333336
(46, '0', '1'), 0.037037037037037035
(46, '1', '0'), 0.2
(46, '1', '1'), 0.0
(47, '0', '0'), 0.04533333333333334
(47, '0', '1'), 0.019230769230769232
(47, '1', '0'), 0.11538461538461539
(47, '1', '1'), 0.5
(48, '0', '0'), 0.052830188679245285
(48, '0', '1'), 0.05952380952380952
(48, '1', '0'), 0.2777777777777778
(48, '1', '1'), 0.0
(49, '0', '0'), 0.01485148514851485
(49, '0', '1'), 0.0
(49, '1', '0'), 0.038461538461538464
(49, '1', '1'), 0.0
(5, '0'), 0.07917888563049853
(5, '1'), 0.13157894736842105
(50, '0', '0'), 0.05339805825242718
(50, '0', '1'), 0.05555555555555555
(50, '1', '0'), 0.14285714285714285
(51, '0', '0'), 0.030226700251889168
(51, '0', '1'), 0.030303030303030304
(51, '1', '0'), 0.041666666666666664
(51, '1', '1'), 0.0
(52, '0', '0'), 0.08130081300813008
(52, '0', '1'), 0.125
(52, '1', '0'), 0.1
(52, '1', '1'), 0.25
(53, '0', '0'), 0.02577319587628866
(53, '0', '1'), 0.0
(53, '1', '0'), 0.1
(53, '1', '1'), 0.0
(54, '0', '0'), 0.030303030303030304
(54, '0', '1'), 0.018018018018018018
(54, '1', '0'), 0.09090909090909091
(54, '1', '1'), 0.3333333333333333
(55, '0', '0'), 0.03201970443349754
(55, '0', '1'), 0.0
(55, '1', '0'), 0.25
(55, '1', '1'), 0.5
(56, '0', '0'), 0.34417344173441733
(56, '0', '1'), 0.08695652173913043
(56, '1', '0'), 0.1
(56, '1', '1'), 0.14285714285714285
(57, '0', '0'), 0.030821917808219176
(57, '0', '1'), 0.0
(57, '1', '0'), 0.015037593984962405
(57, '1', '1'), 0.0
(58, '0', '0'), 0.03125
(58, '0', '1'), 0.0
(58, '1', '0'), 0.0
(58, '1', '1'), 0.0
(59, '0', '0'), 0.030805687203791468
(59, '0', '1'), 0.0
(59, '1', '0'), 0.16666666666666666
(59, '1', '1'), 0.0
(6, '0'), 0.39951573849878935
(6, '1'), 0.38095238095238093
(60, '0', '0'), 0.06720430107526881
(60, '0', '1'), 0.16176470588235295
(60, '1', '0'), 0.0
(60, '1', '1'), 0.0
(61, '0', '0'), 0.020460358056265986
(61, '0', '1'), 0.03571428571428571
(61, '1', '0'), 0.030303030303030304
(61, '1', '1'), 0.0
(62, '0', '0'), 0.03309692671394799
(62, '0', '1'), 0.0
(62, '1', '0'), 0.2222222222222222
(62, '1', '1'), 0.0
(63, '0', '0'), 0.024096385542168676
(63, '0', '1'), 0.08333333333333333
(63, '1', '0'), 0.25
(63, '1', '1'), 0.5
(64, '0'), 0.21927710843373494
(64, '1'), 0.275
(65, '0', '0'), 0.121875
(65, '0', '1'), 0.030303030303030304
(65, '1', '0'), 0.16
(65, '1', '1'), 0.0
(66, '0', '0'), 0.37534246575342467
(66, '0', '1'), 0.11764705882352941
(66, '1', '0'), 0.3404255319148936
(66, '1', '1'), 0.1111111111111111
(67, '0', '0'), 0.1888111888111888
(67, '0', '1'), 0.09090909090909091
(67, '1', '0'), 0.1506849315068493
(67, '1', '1'), 0.08333333333333333
(68, '0', '0'), 0.38580246913580246
(68, '0', '1'), 0.03773584905660377
